Company,Disc,Speed,Glide,Turn,Fade,Max Weight,Diameter,Height,Rim Depth,Inside Diameter,Rim Thickness,Rim Depth/Diameter Ratio,Rim Config,Flexibility
ABC Discs,Bee Line,14,5,-3,2,175.1,21.1,1.6,1.1,16.2,2.5,5.2,26.25,8.39
ABC Discs,Gamma Ray,9,4,-2,2,174.3,21,1.8,1.3,17.1,1.9,6.2,29.75,11.68
ABC Discs,Mission,4,5,-1,2,180.9,21.8,2,1.4,19.4,1.2,6.4,39.25,6.12
ABC Discs,Money,2,3,0,2,174.3,21,2.2,1.7,19,1,8.1,56.5,11.11
ABC Discs,Secret Weapon,10,5,-3,2,175.1,21.1,2,1.1,17.3,1.9,5.2,26.75,7.26
Above Ground Level,Cypress,12,5,-2,2,176,21.2,1.5,1.1,16.7,2.2,5.2,26.75,7.03
Above Ground Level,Madrone,2,3,0,1,174.3,21,2.2,1.7,19,1,8.1,83.5,8.16
Above Ground Level,Manzanita,3,3,0,2,174.3,21,1.1,1.6,18.7,1.1,7.6,67,9.41
Aerobie,Arrow - Approach & Putter,1,2,0,1,177.6,21.4,1.8,1.1,18.4,1.5,5.1,30.75,10.66
Aerobie,Sharpshooter #1,7,3,0,3,176,21.2,1.7,1.3,17.1,2.1,6.1,26.75,11.11
Aerobie,Sharpshooter #2,4,3,0,3,175.1,21.1,1.7,1.2,18.1,1.6,5.7,26.75,9.52
Aerobie,Sharpshooter #3,2,3,0,3,176.8,21.3,1.7,1.3,18.8,1.3,6.1,38.25,11.57
AquaFlight Discs,Dragonfly,5,4,-3,1,174.3,21,1.6,1.1,19.1,1.4,5.2,43,8.05
AquaFlight Discs,Osprey,12,4,-1,2,174.3,21,1.6,1.2,16.4,2.3,5.7,28,11.91
AquaFlight Discs,Peace Frog,3,3,0,1,174.3,21,2.2,1.6,19.1,1,7.6,63.75,5.67
AquaFlight Discs,Pelican,6,5,-3,1,175.1,21.1,2,1.2,17.7,1.7,5.7,29.5,9.19
AquaFlight Discs,Swift,7,5,-2,1,174.3,21,1.6,1.1,17.1,1.9,5.2,30,12.02
Arsenal Discs,50 Cal,10,4,-2,2,175.1,21.1,1.6,1.2,17.2,2,5.7,31.75,9.3
Arsenal Discs,Air Strike,12,5,-3,3,174.3,21,1.5,1.2,16.3,2.3,5.7,26.25,7.03
Arsenal Discs,C4,3,3,0,1,175.1,21.1,1.9,1.3,19.1,1,6.2,50,8.65
Arsenal Discs,Cyborg,9,5,-4,1,174.3,21,1.6,1.2,17.4,1.8,5.7,30.75,8.85
Arsenal Discs,Morningstar,5,4,-1,2,180.1,21.7,1.9,1.3,19.1,1.3,6,43.75,7.71
Axiom Discs,Alias,5,5,-1,1,178.5,21.5,1.8,1.2,19.1,1.2,5.6,61.5,8.96
Axiom Discs,Clash,7,5,-1,3,175.1,21.1,1.4,1.1,17.5,1.8,5.2,33.5,9.41
Axiom Discs,Crave,6,5,-1,1,175.1,21.1,1.4,1.2,17.4,1.8,5.7,27.75,9.98
Axiom Discs,Defy,12,5,-1,2,175.1,21.1,1.5,1.1,16.7,2.2,5.2,26,9.3
Axiom Discs,Envy,2,3,0,2,174.3,21,1.8,1.4,18.8,1.1,6.7,52,8.73
Axiom Discs,Excite,14,6,-3,2,175.1,21.1,2.1,1.2,15.9,2.5,5.7,27,11.91
Axiom Discs,Fireball,11,3,-0.5,4,175.1,21.1,1.4,1.1,17.1,2,5.2,29.5,9.07
Axiom Discs,Insanity,11,5,-2,1.5,175.1,21.1,1.4,1.1,17,2,5.2,27,8.28
Axiom Discs,Inspire,6,5,-2.5,1,175.1,21.1,1.5,1.2,17.4,1.8,5.7,32.75,9.87
Axiom Discs,Mayhem,13,5,-2.5,2,176,21.2,1.9,1.2,16.3,2.4,5.7,27.5,12.13
Axiom Discs,Panic,13,4,0,3,175.1,21.1,1.7,1.2,16.3,2.4,5.7,26.25,12.25
Axiom Discs,Proxy,3,3,-1,1,174.3,21,1.8,1.5,18.8,1.1,7.1,63.5,6.58
Axiom Discs,Tantrum,14,5,-2,2,175.1,21.1,1.9,1.2,16,2.5,5.7,26.75,12.13
Axiom Discs,Tenacity,13,5,-2,1,175.1,21.1,1.9,1.2,16.3,2.4,5.7,26.75,11.57
Axiom Discs,Theory,5,5,-2,0.5,178.5,21.5,1.9,1.3,19.1,1.2,6,50,6.35
Axiom Discs,Thrill,11,4,0,3,175.1,21.1,1.5,1.1,16.7,2.2,5.2,26,9.53
Axiom Discs,Vanish,12,5,-3,2,175.1,21.1,1.5,1.1,16.6,2.2,5.2,27.75,8.98
Axiom Discs,Virus,11,5,-3.5,1,176,21.2,1.4,1.1,17,2,5.2,29.5,7.94
Axiom Discs,Wrath,11,5,-1,2,175.1,21.1,1.4,1.1,17,2,5.2,30.25,8.05
Best Disc Golf Discs,MaxGlide,12,6,-3,2,175.1,21.1,1.6,1.1,16.6,2.3,5.2,29.25,11
Black Zombie Disc Golf,Berzerker,12,4,0,3,177.6,21.4,1.6,1.1,17,2.2,5.1,29.5,10.55
Black Zombie Disc Golf,Chainsaw,3,4,0,1,174.3,21,2.2,1.5,19.1,1,7.1,66.5,11
Crosslap Discgolf Parks,Credo,3,2,0,3,180.1,21.7,2,1.6,19.3,1.2,7.4,49.75,7.26
Crosslap Discgolf Parks,Lucky,5,5,-2,1,180.1,21.7,1.7,1.3,19.1,1.3,6,43.5,5.33
Daredevil Discs,Albatross,14,4,0,5,174.3,21,1.6,1.1,16.4,2.3,5.2,26.5,8.39
Daredevil Discs,Beaver,2,3,-1,1,176,21.2,2.2,1.6,19.3,0.9,7.5,50.5,3.97
Daredevil Discs,Bigfoot,13,6,-2,2,175.1,21.1,1.6,1.1,16.1,2.5,5.2,26,6.69
Daredevil Discs,Bighorn,2,3,0,1,176,21.2,2.2,1.6,19.2,1.6,7.5,67.75,8.62
